id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21942882,Single Room Steps Away from Subway (Female Only),145242773,Mel,,York University Heights,43.76500773930174,-79.4931498058535,Private room,26,15,2,2018-03-07,0.79,3,316
21789170,316 quiet room at York University Subway at door,43488381,Runying,,York University Heights,43.76800843849805,-79.5048964515844,Private room,35,3,3,2018-03-29,0.68,33,360
8521909,"Snug Room + Private Washroom @ York Uni, Toronto",30753730,Jeishan,,York University Heights,43.768775539130225,-79.50211348788625,Private room,40,2,3,2017-12-09,0.11,10,306
23246369,126 room at York University Subway around,43488381,Runying,,York University Heights,43.76651388967376,-79.50268661049833,Private room,35,2,1,2018-02-25,0.68,33,365
22581766,Clean private basement room near York U ii,44098156,Jay,,York University Heights,43.766348548825555,-79.50047902630793,Private room,20,1,3,2018-03-03,1.43,5,34
21559782,016 room at York University Subway at the door,43488381,Runying,,York University Heights,43.76658282400451,-79.50315547926219,Private room,35,2,7,2018-04-04,2.16,33,345
24122060,246 room at York University Subway around,43488381,Runying,,York University Heights,43.767721816772266,-79.50321163185184,Private room,32,1,0,,,33,365
18931153,336 room at York Subway at the door,43488381,Runying,,York University Heights,43.76641723019313,-79.50456747050556,Private room,35,2,18,2018-01-19,1.79,33,358
23733553,046 York University Subway around,43488381,Runying,,York University Heights,43.76812332819341,-79.50336028069788,Private room,35,7,0,,,33,354
5922059,"Cozy Bedroom @ York University, Toronto",30753730,Jeishan,,York University Heights,43.767631525202354,-79.5023851109016,Private room,45,2,13,2018-03-12,0.36,10,178
20728600,Nice Bedroom 3-Minute Walk to Subway (Female Only),145242773,Mel,,York University Heights,43.76368770488948,-79.49514789954229,Private room,35,12,4,2018-03-20,1.18,3,226
23842123,319 room at York University Subway around,43488381,Runying,,York University Heights,43.768484156279875,-79.49623961404141,Private room,27,2,0,,,33,344
6625373,(1) Cozy & Comfortable w/ En-suite Bath,24346665,Shanny,,York University Heights,43.769615268813766,-79.5011769394673,Private room,55,3,58,2018-03-26,1.70,8,269
23064648,116 at York University Subway around,43488381,Runying,,York University Heights,43.76606416478606,-79.50464439945644,Private room,35,2,2,2018-02-18,1.11,33,336
19659087,"Snug Bedroom w/ balcony @ York University, Toronto",30753730,Jeishan,,York University Heights,43.76805500338399,-79.50210818800629,Private room,45,2,9,2018-02-16,0.98,10,244
20362540,Cozy Room 3-Min Walk from Subway (Female Only),145242773,Mel,,York University Heights,43.76454367720497,-79.49352116390698,Private room,29,15,4,2018-03-21,0.63,3,271
24098552,049 room at York University Subway around,43488381,Runying,,York University Heights,43.76871444221136,-79.49616452253922,Private room,27,1,0,,,33,347
23249051,236 big room at York University Subway around,43488381,Runying,,York University Heights,43.76727407772785,-79.50492106044048,Private room,45,2,0,,,33,365
23621603,326 York University Subway around,43488381,Runying,,York University Heights,43.76669512891698,-79.50317676679008,Private room,32,3,0,,,33,355
23358828,136 room at York University Subway around,43488381,Runying,,York University Heights,43.76678715790089,-79.50359248285629,Private room,35,1,2,2018-03-16,1.76,33,330
21534296,329 room at York University,43488381,Runying,,York University Heights,43.76777220245979,-79.50341479235209,Private room,35,2,0,,,33,201
22349967,Private room close to York University,133299350,Tosin,,York University Heights,43.76884848901666,-79.49914458817237,Private room,40,2,1,2018-01-10,0.33,1,282
9132704,Living Room in apartment North York,47567573,Chelson,,York University Heights,43.7620565539662,-79.4998673471988,Private room,29,1,2,2016-01-31,0.07,1,0
22972191,Ilana's Guest Experience,170265443,Ilana,,York University Heights,43.75586903979131,-79.49578664422438,Private room,40,1,0,,,1,350
