id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25133092,Quite home,119476920,Primrose And Helasiri,,Highland Creek,43.79609514944226,-79.18466046587693,Private room,35,5,2,2018-08-12,0.44,2,360
25134749,Paul boudoir on st Clair,189452016,Paul,,Weston-Pellam Park,43.67485525428624,-79.45956292624331,Entire home/apt,69,1,28,2018-09-16,5.28,1,82
25138121,Great place,141741295,Ivan,,Moss Park,43.65736146236033,-79.35618731017341,Private room,90,1,0,,,2,0
25139073,Unwind on Private Terrace of this Downtown Oasis,159735119,Linda,,Waterfront Communities-The Island,43.64321005160572,-79.39259517359152,Entire home/apt,275,4,17,2018-10-30,3.29,1,131
25139252,Family-friendly Roncesvalles Home,4566192,Estair,,Roncesvalles,43.642800241322746,-79.44580806038641,Entire home/apt,225,3,4,2018-10-09,0.92,1,12
25139595,Your Toronto Place,18773322,Solomon,,Mimico (includes Humber Bay Shores),43.6115200382842,-79.49042039768919,Entire home/apt,55,5,1,2018-06-24,0.22,5,0
25140211,Bright & Stylish Main Floor Suite on College West,2632371,Cassandra,,Palmerston-Little Italy,43.65415192245879,-79.42630355842961,Private room,105,1,15,2018-10-27,4.89,1,68
25140591,"1BR TownHouse Loft in LibertyVillage (CNE,BMOfild)",91005566,Abby,,Niagara,43.639486215354914,-79.4139269010478,Entire home/apt,189,2,10,2018-10-19,2.04,7,68
25140775,Yuwen’s Entire Home for 2 People,19921527,Yuwen,,Waterfront Communities-The Island,43.6413898781558,-79.39794296290013,Entire home/apt,193,1,59,2018-11-02,12.12,3,125
25141481,Private 1 Bedroom - Bloor West Village,3355120,Lana,,Lambton Baby Point,43.65484045547446,-79.48956930284558,Private room,50,2,23,2018-10-25,4.11,1,0
25141928,COZY new LUXURY condo 1BDR 1BA Close to everything,190024410,Steven,,Banbury-Don Mills,43.73332237690523,-79.34582934535565,Entire home/apt,149,3,2,2018-06-29,0.38,1,0
25142151,"Sensational 1BR in Liberty Village, CNE-ENECARE",103420587,Anita,,Niagara,43.63952615123718,-79.4158159092628,Entire home/apt,169,1,25,2018-10-21,4.69,11,81
25143150,"Beautiful 1BR in LibertyVillageCNE,ENCARE,BMOfield",144170010,Andrea,,Niagara,43.639701231385295,-79.41596505844326,Entire home/apt,180,1,19,2018-10-20,3.96,6,76
25143231,"Exquisite 1 BR + Den by CN Tower, ACC, Rogers Ctr",33238402,Steve,,Waterfront Communities-The Island,43.64300950429833,-79.38264107926453,Entire home/apt,250,1,8,2018-08-18,1.41,37,221
25143615,"Lovely 1BRCondo LibertyVillage CNE,ENcare,BMOField",144170010,Andrea,,Niagara,43.63821311623421,-79.4160338832272,Entire home/apt,169,1,15,2018-10-08,3.17,6,68
25144230,Modern&Beautiful 1BRCondo in the heart of Downtown,144170010,Andrea,,Bay Street Corridor,43.65058882114798,-79.3830216637027,Entire home/apt,189,1,15,2018-10-19,3.49,6,75
25154203,"1BR Next to Financial District, ST.LawranceMarket",144170010,Andrea,,Waterfront Communities-The Island,43.64716490145276,-79.37078434841406,Entire home/apt,180,2,11,2018-10-21,2.70,6,84
25154880,"2BR TownHome Walk to LibertyVillage CNE,ENECAR",144170010,Andrea,,South Parkdale,43.63966678248421,-79.42483075707314,Entire home/apt,189,2,6,2018-09-23,1.16,6,0
25155734,❤️ Private room with a great view on the Lake ❤️,4000865,William,,Waterfront Communities-The Island,43.638900586477774,-79.39029175746346,Private room,110,9,1,2018-06-28,0.23,1,16
25158320,"Stylish, Comfortable & Convenient",190110841,Atul,,Dorset Park,43.767686830066886,-79.28489902036199,Entire home/apt,164,2,13,2018-10-28,2.44,1,170
25158465,Fully furnished one bedr. apartment in North York,190105604,Galina,,Glenfield-Jane Heights,43.748059360800006,-79.5053028820015,Entire home/apt,72,7,4,2018-08-20,1.03,1,277
25159235,"Yonge/Finch 3-bedrooms for 7 guests 都市别墅,优惠同胞",126172121,Lisa,,Newtonbrook East,43.79008898037358,-79.40856891666402,Entire home/apt,350,2,0,,,3,363
25161679,"Private, bright basement suite in Upper
Beaches",5098770,Josh,,Woodbine Corridor,43.672172015823534,-79.31845572974714,Entire home/apt,94,2,10,2018-08-23,2.40,1,0
25162112,Nice Private Bathroom Close to Fairview Mall,147121958,Steve,,Pleasant View,43.78510846061919,-79.3276723970461,Private room,100,1,3,2018-10-06,0.56,9,365
25165026,Toronto Beach,16968889,Paul,,The Beaches,43.67461684409795,-79.30127783967437,Entire home/apt,115,2,18,2018-10-28,3.65,1,131
25165125,Two cozy rooms w/ ensuite bathrooms downtown!,139751167,Xing,,Kensington-Chinatown,43.654776855594825,-79.39406026343035,Private room,186,1,4,2018-09-08,1.19,6,54
25166656,"Luxurious new home in East York, Toronto",190170122,Kathy And Mary,,Woodbine-Lumsden,43.69529261651047,-79.30497386883081,Entire home/apt,275,4,3,2018-08-22,0.57,1,257
25166860,Chic Private Room Toronto LakeShore Waterfront,155281373,Zori,,Mimico (includes Humber Bay Shores),43.623546321449915,-79.48231751807273,Private room,75,1,1,2018-10-16,1,3,89
25167953,Fabolous! Heart of the city! High end furniture!,112110420,Levan,,Church-Yonge Corridor,43.66605138664604,-79.38368767004047,Entire home/apt,225,3,23,2018-11-02,5.39,2,76
25168141,★★★★(18) Comfortable Downtown Living :),80912184,Kelly,,Bay Street Corridor,43.658106630473895,-79.38353859416479,Entire home/apt,105,1,19,2018-10-14,3.33,19,80
25168477,Luxurious Midtown Forest Hill Getaway,138250748,Danielle,,Yonge-St.Clair,43.68721210035122,-79.40038024352567,Entire home/apt,125,2,29,2018-09-30,5.58,1,107
25169257,Luxurious condo on subway line,28254690,Sabrina,,Islington-City Centre West,43.64017409697721,-79.53806190949493,Entire home/apt,110,2,7,2018-08-21,1.41,1,68
25170080,"Great Location!  Stylish, Warm 2nd Floor Flat",2089747,Sabrina,,Palmerston-Little Italy,43.6551766855117,-79.4235720450905,Entire home/apt,119,3,17,2018-10-31,3.40,2,65
25175854,Private Room and Bathroom,189500336,Pedro,,Pelmo Park-Humberlea,43.72297854661369,-79.53292593455424,Private room,29,1,40,2018-10-29,7.95,1,152
25178035,Brand New *Prime Location*,102119368,Robert,,Waterfront Communities-The Island,43.64754096339847,-79.39721439210464,Entire home/apt,121,3,1,2018-06-04,0.19,1,0
25181598,toronto welcomehouse 105room 2room share  washroom,164815285,James,,L'Amoreaux,43.79833080820947,-79.29903332796113,Private room,60,2,11,2018-10-14,2.02,9,356
25182096,Beautiful 3 bedroom home with spectacular view!,87373122,Sarah And Tom,,Banbury-Don Mills,43.740319235748885,-79.35054186375028,Entire home/apt,119,5,1,2018-07-20,0.28,2,73
25182771,Stylish 1 BR with view of Fort York w/parking,52865763,Kato,,Niagara,43.63810690467747,-79.40343676566275,Entire home/apt,250,2,8,2018-09-09,1.79,1,211
25187190,Newly Furnished Condo w/ CN Tower View + Balcony,190310043,Zainab,,Waterfront Communities-The Island,43.64346984146546,-79.38905034547068,Entire home/apt,195,2,35,2018-10-31,6.44,1,154
25187894,Private Bedroom in 2 Bedroom Apt!,155710791,Emily,,Humewood-Cedarvale,43.685605835996945,-79.41993718211852,Private room,41,1,3,2018-08-04,0.55,1,0
25189761,Cozy room in Kensington market,187754647,Phill,,Kensington-Chinatown,43.652545361206705,-79.40217417227032,Private room,0,1,6,2018-09-01,1.11,6,365
25190106,Fantastic Light and Spacious 5 Bedroom House,4905416,Christina,,Junction Area,43.66465286628836,-79.47984884515006,Entire home/apt,100,2,3,2018-06-11,0.61,1,0
