id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3052361,Amazing well located Room 3,14475101,Glaucia,,Corso Italia-Davenport,43.68055,-79.4481,Private room,21,1,15,2018-12-12,0.30,20,365
3052554,Amazing Room Well located 1,14475101,Glaucia,,Corso Italia-Davenport,43.68064,-79.44593,Private room,21,1,6,2018-03-28,0.14,20,360
3057977,Beautiful Large Home in Downtown Toronto,15565546,Heather,,Dovercourt-Wallace Emerson-Junction,43.66696,-79.42781,Entire home/apt,121,2,1,2018-08-04,0.14,1,0
3087458,Cosy apartment on the top floor with a balcony,15708086,Petr,,Roncesvalles,43.64355,-79.44255,Entire home/apt,87,2,9,2018-07-29,0.28,1,0
3100332,Spacious Apartment Well Located,11483107,Joel,,Palmerston-Little Italy,43.6615,-79.42618,Private room,52,7,81,2019-01-09,1.42,1,114
3105895,testing home sharing Cypher,4634401,Tianyi,,Agincourt North,43.81228,-79.28721,Shared room,40,1,0,,,1,0
3109354,Summer in Downtown Toronto! ,7660935,Tiphaine,,Dufferin Grove,43.6505,-79.44024,Private room,66,1,0,,,1,0
3111914,26TH FLOOR! - SUPERB DOWNTOWN VIEW,15813931,Maria,,Waterfront Communities-The Island,43.64201,-79.38242,Entire home/apt,225,3,31,2019-01-02,0.54,1,230
3112290,5 Minute Walk to Ossington Subway,2156877,Robert,,Palmerston-Little Italy,43.6608,-79.4239,Private room,40,3,24,2019-01-28,0.79,2,3
3123253,Available for World Gay Pride 2014,15863941,Peter,,Cabbagetown-South St.James Town,43.66462,-79.37741,Entire home/apt,350,5,0,,,1,0
3131003,LARGE HOUSE IN TORONTO,15899786,Tara,,High Park-Swansea,43.64259,-79.45506,Entire home/apt,250,14,1,2015-08-22,0.02,1,0
3131316,Downtown Trendy Super Suite,1772659,Alcira,,Bay Street Corridor,43.64954,-79.38673,Private room,300,3,3,2016-11-02,0.06,4,365
