id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4597410,Comfy flat downtown,23830038,Sandrine,,Church-Yonge Corridor,43.66591557190662,-79.38051712691333,Entire home/apt,120,4,0,,,1,0
4601876,Entertainment District 2 bd&2 bth *Special* ☆☆☆☆☆,11206244,Superhost,,Waterfront Communities-The Island,43.64766241265966,-79.39208106590513,Entire home/apt,150,30,63,2017-11-30,1.45,19,312
4603634,Studio near the Beaches Toronto,1813554,Sophie-Anne,,Birchcliffe-Cliffside,43.68891026282098,-79.2702279462184,Entire home/apt,53,2,92,2018-08-03,2.19,1,328
4604869,Yellow bedroom + transit + parking*,22737400,Carolina & Nay,,Runnymede-Bloor West Village,43.65010792524662,-79.48287088133807,Private room,49,1,52,2018-07-08,1.28,2,339
4610257,"Unique, Centrally Located Hard Loft",14131714,Benjamin,,Niagara,43.642293476301084,-79.40229100436888,Entire home/apt,108,2,44,2018-07-22,1.00,3,44
4615440,Spacious Room King Size Bed by St George Station,15286111,Felix,,University,43.66609999174235,-79.40112916862515,Private room,60,4,82,2018-07-06,3.48,1,1
4616263,Condo With Parking Near CN Tower,23914463,Candice,,Waterfront Communities-The Island,43.64125247916039,-79.39764364014138,Entire home/apt,90,1,60,2016-02-25,1.33,1,0
4616714,Executive Suite Downtown King West ,16290105,Mark,,Waterfront Communities-The Island,43.64272623685178,-79.39184609953382,Entire home/apt,250,3,24,2017-04-24,0.54,12,126
4624314,Beautiful 1br Loft in city's heart. Amazing spot!,23950930,Kerem,,Waterfront Communities-The Island,43.645721235432426,-79.38870924447782,Entire home/apt,135,2,18,2018-07-17,1.04,4,364
4624909,Zoom Couture Furnished Condo,11206244,Superhost,,Church-Yonge Corridor,43.66983225196834,-79.38084774554117,Entire home/apt,399,1,0,,,19,364
4629833,Leslieville 2 bedroom charmer,13242119,Michele,,South Riverdale,43.6721745051465,-79.33355268571587,Entire home/apt,90,5,4,2017-08-18,0.26,1,0
4638316,Quiet Resort Style Living,24015180,Joe,,Mimico (includes Humber Bay Shores),43.61973827416901,-79.48268449508272,Entire home/apt,118,7,0,,,1,0
4644945,downtown comfortable couch surfing,15902550,Tushar,,Greenwood-Coxwell,43.671897824854845,-79.32628064112775,Shared room,46,1,95,2018-07-16,2.13,3,365
4652803,Cozy 2B flat near downtown Toronto.,24085234,Cristina,,Caledonia-Fairbank,43.68838485242745,-79.45875719531152,Entire home/apt,100,6,19,2018-07-31,0.52,7,302
4653024,"Sofa bed, or bed in private space.
No smoking",24085234,Cristina,,Caledonia-Fairbank,43.68680214182084,-79.45917255729874,Private room,29,5,12,2018-07-14,0.44,7,154
4653026,"Private room; large master bedroom, in bassement.",24085234,Cristina,,Caledonia-Fairbank,43.68678977334432,-79.45934262979243,Private room,40,7,6,2017-08-31,0.35,7,237
4659649,Cozy Home in Trendy Bloordale,18927235,Lauren,,Dufferin Grove,43.65752797559357,-79.44388461882274,Entire home/apt,60,2,2,2016-07-09,0.05,1,0
4661866,Luxurious 1 bdrm ICE Condo on York ,24122779,Tina,,Waterfront Communities-The Island,43.64198495503999,-79.38174166461037,Entire home/apt,195,29,2,2015-11-11,0.05,6,169
4662514,Beautiful new condo downtown,22891467,Marc,,Waterfront Communities-The Island,43.649880908783686,-79.35842319962211,Private room,170,1,10,2018-06-26,0.24,1,336
4662790,"Large, Elegant Downtown Victorian.",8869258,Tabatha,,Cabbagetown-South St.James Town,43.66590901259172,-79.36338468188417,Entire home/apt,450,4,5,2017-01-02,0.16,1,2
4663473,Large Bedroom in Heart of Downtown,20334453,Alberto,,Kensington-Chinatown,43.65792541375335,-79.39364339330946,Private room,70,1,0,,,1,0
4663579,Luxurious 2 Bedroom Lakeview Apt,24122779,Tina,,Waterfront Communities-The Island,43.64289127017574,-79.38051703611465,Entire home/apt,275,3,6,2018-07-02,0.18,6,146
4670622,Large Room with private bathroom,5259756,Francy,,Mount Pleasant West,43.70686744313134,-79.39343283368346,Private room,62,29,1,2016-09-01,0.04,1,341
4670839,One-bedroom apartment in Toronto,24156779,Adam,,Annex,43.669101906716385,-79.40935721147717,Entire home/apt,125,5,3,2016-05-22,0.07,1,126
4671010,Condo in Uptown area,14269999,Nathalie,,Lawrence Park South,43.717695861009936,-79.39976017403708,Entire home/apt,150,3,1,2014-12-25,0.02,1,0
4671883,Private Room Walking Distance to Subway.,22301317,Bogdan,,Willowdale West,43.76958547534833,-79.4186978732587,Private room,49,2,19,2018-06-24,0.55,3,225
4673452,"Darling Mansion: ""Opium Den"" Room",24175706,Tanya,,Little Portugal,43.64681015744172,-79.42522914823475,Private room,248,1,29,2018-07-18,0.79,5,361
4676121,Designer 3 Bdrm Home in Riverdale,24186047,Merete And Tyler,,South Riverdale,43.66184171064421,-79.34858427393465,Entire home/apt,160,2,9,2016-09-05,0.28,1,0
4680622,Private room inthe heart of theTIFF,2471753,Emma,,Bay Street Corridor,43.64944942688017,-79.38622222538827,Private room,220,1,3,2015-09-21,0.08,1,0
4680680,Large 3 bdrm Beaches home,24205695,Roberta,,Greenwood-Coxwell,43.66853250058392,-79.31775956160516,Entire home/apt,310,5,26,2018-07-30,0.59,1,288
4687194,Cozy 3 Bedroom + 2 Bath House Apartment,24233876,Aili & Don,,Tam O'Shanter-Sullivan,43.78096388591017,-79.31223526550384,Entire home/apt,150,4,84,2018-06-22,1.89,5,63
4687603,New Penthouse Condo -CN Tower View! -FREE Parking!,24235743,Aj,,South Parkdale,43.639706220941086,-79.42230433368908,Entire home/apt,154,1,102,2018-07-27,2.81,4,41
4687659,L2 - HOME AWAY FROM HOME,13171467,Nila,,Oakwood Village,43.6939846498166,-79.44469478486577,Private room,29,3,14,2018-07-29,0.43,4,87
4688053,Modern Apple Store-Style Home – King Bed,2948789,Daniel,,Junction Area,43.665865939137674,-79.46789855418712,Private room,90,2,8,2018-01-01,0.18,3,0
4688281,1 bedroom apartment in Leslieville,24202142,Ryan,,South Riverdale,43.65860791872941,-79.33768068782828,Entire home/apt,90,2,30,2018-05-05,1.22,1,310
4694669,Grand Cozy Masterpiece....,24074825,Brad,,Leaside-Bennington,43.69506937608399,-79.37695304303824,Entire home/apt,850,7,0,,,1,0
4698520,"Modern condo in upscale district, downtown Toronto",14953252,Yoni,,Waterfront Communities-The Island,43.64894117152235,-79.38827763181989,Entire home/apt,285,3,31,2018-07-21,0.72,1,329
4700353,Sunny Little Portugal Apartment,6005304,Nuria,,Little Portugal,43.65171915253068,-79.42804187175771,Entire home/apt,111,2,4,2017-01-31,0.09,1,0
4701478,Pan Am Games house rental,23034531,Susan,,Leaside-Bennington,43.70516761015512,-79.37076052228669,Entire home/apt,229,7,0,,,1,0
4705098,Beautiful family home,16388998,Dawn,,South Riverdale,43.66889979109235,-79.33553023177862,Entire home/apt,215,2,16,2017-12-30,0.38,1,219
